radionuclide,fit_method,material,parameter_name,value
Co57,Nth value layer,Lead,HVL1,0.4
Cr51,Nth value layer,Lead,HVL1,2.8
Cs137,Nth value layer,Lead,HVL1,9.4
F18 (pt),Nth value layer,Lead,HVL1,7.0
F18 (vial),Nth value layer,Lead,HVL1,7.0
Ga67 (pt),Nth value layer,Lead,HVL1,1.3
Ga67 (vial),Nth value layer,Lead,HVL1,1.3
Ga68 (pt),Nth value layer,Lead,HVL1,7.2
Ga68 (vial),Nth value layer,Lead,HVL1,7.2
GeGa (Gen),Nth value layer,Lead,HVL1,7.2
I123,Nth value layer,Lead,HVL1,0.06
I131 (pt),Nth value layer,Lead,HVL1,3.9
I131 (vial),Nth value layer,Lead,HVL1,3.9
In111,Nth value layer,Lead,HVL1,0.6
Lu177,Nth value layer,Lead,HVL1,0.6
MoTc (Gen),Nth value layer,Lead,HVL1,
Sm153,Nth value layer,Lead,HVL1,0.0876
Tc99m (pt),Nth value layer,Lead,HVL1,0.4
Tc99m (vial),Nth value layer,Lead,HVL1,0.4
Tl201 (pt),Nth value layer,Lead,HVL1,0.3
Tl201 (vial),Nth value layer,Lead,HVL1,0.3
Co57,Nth value layer,Lead,HVL2,0.3
Cr51,Nth value layer,Lead,HVL2,1.8
Cs137,Nth value layer,Lead,HVL2,6.7
F18 (pt),Nth value layer,Lead,HVL2,4.5
F18 (vial),Nth value layer,Lead,HVL2,4.5
Ga67 (pt),Nth value layer,Lead,HVL2,1.7
Ga67 (vial),Nth value layer,Lead,HVL2,1.7
Ga68 (pt),Nth value layer,Lead,HVL2,4.8
Ga68 (vial),Nth value layer,Lead,HVL2,4.8
GeGa (Gen),Nth value layer,Lead,HVL2,4.8
I123,Nth value layer,Lead,HVL2,0.54
I131 (pt),Nth value layer,Lead,HVL2,3.1
I131 (vial),Nth value layer,Lead,HVL2,3.1
In111,Nth value layer,Lead,HVL2,0.9
Lu177,Nth value layer,Lead,HVL2,0.6
MoTc (Gen),Nth value layer,Lead,HVL2,
Sm153,Nth value layer,Lead,HVL2,0.0876
Tc99m (pt),Nth value layer,Lead,HVL2,0.3
Tc99m (vial),Nth value layer,Lead,HVL2,0.3
Tl201 (pt),Nth value layer,Lead,HVL2,0.3
Tl201 (vial),Nth value layer,Lead,HVL2,0.3
Co57,Nth value layer,Lead,TVL1,1.0
Cr51,Nth value layer,Lead,TVL1,7.0
Cs137,Nth value layer,Lead,TVL1,24.0
F18 (pt),Nth value layer,Lead,TVL1,17.0
F18 (vial),Nth value layer,Lead,TVL1,17.0
Ga67 (pt),Nth value layer,Lead,TVL1,5.8
Ga67 (vial),Nth value layer,Lead,TVL1,5.8
Ga68 (pt),Nth value layer,Lead,TVL1,18.0
Ga68 (vial),Nth value layer,Lead,TVL1,18.0
