age,weight,height,gender
0,3.3,49.2,F
0.083333333,4.3,53.8,F
0.166666667,5.3,56.1,F
0.25,6,59.9,F
0.333333333,6.6,62.2,F
0.416666667,7.1,64.2,F
0.5,7.5,64.1,F
0.583333333,7.9,67.3,F
0.666666667,8.2,68.8,F
0.75,8.5,70.1,F
0.833333333,8.8,71.6,F
0.916666667,9,72.8,F
1,9.2,74.1,F
1.083333333,9.5,75.1,F
1.166666667,9.7,76.4,F
1.25,9.9,77.7,F
1.333333333,10.2,78.4,F
1.416666667,10.4,79.7,F
1.5,10.6,80.7,F
1.583333333,10.8,81.7,F
1.666666667,11,82.8,F
1.75,11.3,83.5,F
1.833333333,11.5,84.8,F
1.916666667,11.7,85.1,F
2,12,85.5,F
3,14.2,94,F
4,15.4,100.3,F
5,17.9,107.9,F
6,19.9,115.5,F
7,22.4,121.1,F
8,25.8,128.2,F
9,28.1,133.3,F
10,31.9,138.4,F
11,36.9,144,F
12,41.5,149.8,F
13,45.8,156.7,F
14,47.6,158.7,F
15,52.1,159.7,F
16,53.5,162.5,F
17,54.4,162.5,F
18,56.7,163,F
19,57.1,163,F
20,58,163.3,F
0,3.3,49.8,M
0.083333333,4.4,54.8,M
0.166666667,5.6,58.4,M
0.25,6.4,61.4,M
0.333333333,7,64,M
0.416666667,7.5,66,M
0.5,7.9,67.5,M
0.583333333,8.3,69,M
0.8,8.6,70.6,M
0.75,8.9,71.8,M
0.833333333,9.1,73.1,M
0.916666667,9.4,74.4,M
1,9.6,75.7,M
1.083333333,9.9,76.9,M
1.166666667,10.1,77.9,M
1.25,10.3,79.2,M
1.333333333,10.5,80.2,M
1.416666667,10.7,81.2,M
1.5,10.9,82.2,M
1.583333333,11.2,83.3,M
1.666666667,11.3,84,M
1.75,11.5,85,M
1.833333333,11.7,86.1,M
1.916666667,11.9,86.8,M
2,12.5,86.8,M
3,14,95.2,M
4,16.3,102.3,M
5,18.4,109.2,M
6,20.6,115.5,M
7,22.9,121.9,M
8,25.6,128,M
9,28.6,133.3,M
10,32,138.4,M
11,35.6,143.5,M
12,39.9,149.1,M
13,45.3,156.2,M
14,50.8,163.8,M
15,56,170.1,M
16,60.8,173.4,M
17,64.4,175.2,M
18,66.9,175.7,M
19,68.9,176.5,M
20,70.3,177,M
